title,description,Brand,imageName,Tags,price,Variation,subcategory,category
KANGVAPE ONEE PLUS 2200,"
                 KangVape 2200 Onee Plus 2200 Puffs - Disposable Vape is a pre-filled salt nic vaping system that is convenient and compact. Draw-activated, lasts for about 2200 puffs and has a powerful 1100mAh battery to support that. It contains 8.5ML of 50MG (5%) of salt nic juice and comes in a variety of flavors.Device Details:Approximately 2200 Puffs1100mAh Non-Rechargeable Battery8,5 ML of 50MG (5%) Salt Nic JuicePackage includes 1 x KangVape 2200 Onee Plus -  2200 Puffs Disposable VapeFlavors:Kangvape 2200 RedApple Melon IceKangvape 2200 Cherry LemonadeKangvape 2200 Russian CreamKangvape 2200 Blueberry on IceKangvape 2200 Cool MintKangvape 2200 Banana IceKangvape 2200 Pomegranate Strawberry
                              ","BRAND:
KANGVAPE",KANGVAPE ONEE PLUS 2200.png,"DISPOSABLE,ONEE PLUS,2200 PUFFS,VAPE","$60.00,$60.00,$60.00,$60.00,$60.00,$60.00","BANANA ICE,COOL MINT,RED APPLE MELON,RUSSIAN CREAM,STRAWBERRY BANANA,WATERMELON PEACH MANGO",DISPOSABLES,POD SYSTEMS
FUME EXTRA CBD DISPOSABLE 750MG,"
                 
Fume CBD is a pre-filled disposable CBD vape pod system device that comes in 750mg of CBD. It is small and pocket-friendly size and easier to carry. The Fume CBD Disposable 1500 puffs is powered by 850mAh built-in battery and 6ml pre-filled pod with tasty CBD e-liquids.Device Details:Size: 6mlCBD Strengths: 750mgBattery Capacity: 850mAhPuff Count: 1500+ PuffsFlavors: 8 Available FlavorsFlavors:Blue RazzBanana IcePina ColadaMangoMint IceLush IceStrawberry WatermelonStrawberry BananaPackaging Contents:  1x Fume 750mg CBD Disposable Vape Device
                              ","BRAND:
FUME",FUME EXTRA CBD DISPOSABLE 750MG.png,"DISPOSABLE,VAPING,CBD,POCKETSIZED","$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00","BANANA ICE,BLUE RAZZ,LUSH ICE,MANGO,MINT ICE,PINA COLADA,STRAWBERRY BANANA,STRAWBERRY WATERMELON",DISPOSABLES,POD SYSTEMS
SEA XL DISPOSABLES - BOX OF 8,"
                 FEATURES8pc display box4.5mL 1000mAh battery1500 puffs5% Salt-nicotineFlavorsBanana IceBlue SlushieCola IceChocolate Ice CreamGrape IceKiwi LemonadeLush IceMintPineapple IceStrawberry AloeStrawberry Cream
                              ","BRAND:
SEA STIX",SEA XL DISPOSABLES - BOX OF 8.png,"SEA,DISPOSABLE","$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00","BANANA ICE,BLUE SLUSHIE,CHOCOLATE ICE CREAM,COLA ICE,GRAPE ICE,LUSH ICE,STRAWBERRY ALOE,STRAWBERRY CREAM",DISPOSABLES,POD SYSTEMS
POP LITE DISPOSABLE 10PC,"
                 Introducing Pop, an all in one disposable device. No filling, no charging and no mess. Pop makes vaping simple with up to 900 puffs per device and loads of flavors to choose from. With no buttons or any confusing settings, the Pop Lite Disposable Device is ready to go right out of the package.Each Pop Lite Disposable Device Includes: Single Count Package Up to 900 Puffs Per Device 3.5ml Per Device 5% Salt Nicotine By VolumePOP LITE DISPOSABLE 10PC INCLUDES:10 POP LITE DISPOSABLES
                              ","BRAND:
POP",POP LITE DISPOSABLE 10PC.png,"DISPOSABLE,POP","$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00","CHILLED COTTON FLOSS,CHILLED STRAWBERRY POM,HONEYDEW MELON CHEW,LUSCIOUS WATERMELON,MAUI POG,MINT,PEACH ICE CREAM,PEACH WATERMELON,SOUR GRAPPLES,STRAWBERRY BANANA CREAM",DISPOSABLES,POD SYSTEMS
GEEKBAR DISPOSABLES 10PC,"
                 The Geek Bar Vape Disposable Pod is a compact and portable disposable pod system. Powered by a 550mAh high voltage built-in battery, the Geek Bar features a 2.4ml pre-filled E-juice providing 575 puffs approximately with identifiable blended flavors and 20mg/50mg nicotine salt strength for a solid throat hit and deep satisfaction. The constant output system offers a consistent taste of exceptional flavors and massive clouds which is incomparable among all disposables.Geek Bar Flavors:Mango Ice - Zesty, extremely toothsome, and sweet.Blueberry Ice - Refreshing, sweet but a bit of tarty.Peach Ice - Mouth-watering, sweet, and mellow.Watermelon Ice - Fresh, sweet, and excessively fruity.Lychee Ice - Unique, super fresh and sweet.Sour Apple - Green, tangy with sour aftertaste.Menthol - Soothing, cooling and refreshing.Geek Bar Vape Disposable Pod Features:Dimensions: 23.2 × 14.3 × 105mmResistance: 1.40 - 1.50ohmDisposable Vape Pod Device20mg/50mg Nicotine Salt Strength575 Puffs Approximately500mAh Built-in Battery3.6V Constant Voltage Output2.4ml E-Juice Per Geek BarDraw-Activated Firing MechanismFood Grade PCTG PodOrganic Cotton Heating WireSolid Throat Hit with Exceptional FlavorsComes in a Pack of OnePackage Includes:1 x Geek Bar Vape Disposable Pod
                              ","BRAND:
GEEKBAR",GEEKBAR DISPOSABLES 10PC.png,"DISPOSABLE,GEEKBAR","$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00","LYCHEE ICE,BANANA ICE,BLUEBERRY ICE,MANGO ICE,MENTHOL,PEACH ICE,SOUR APPLE,SWEET STRAWBERRY,WATERMELON ICE",DISPOSABLES,POD SYSTEMS
MOOD TIME EXTRA DISPOSABLE 1000,"
                 The great alcohol flavored disposable e-Cigarettes by Moodtime, are created with high quality and unique phenomenal taste. Moodtime e-Cigarettes give up to 800 huffs. You will enjoy the very last inhale of it with the same quality as the first one.FLAVORS:APPLE MARTINI, BLACKBERRY ICE, DRAGON FRUIT, BLUE RAZZ LEMONADE, CHERRY FROST, CRAZY BANANA, EXTREME FRUIT, EXTREME MINT, GRAPE ICE, LUSH ICE, MANGO PINEAPPLE ICE, MIXED BERRIES, PINA COLADA, PINEAPPLE LEMONADE, SEX ON THE BEACH, SMOOTHIE BANANA MANGO, STRAWBERRY BANANA ICE, STRAWBERRY KIWI, STRAWBERRY WATERMELON, VODKA WHITE GRAPE, WATERMELON, WHITE PEACH ICEWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any
of SunshineNovelty.com’s parent and subsidiary companies are not held
responsible for any damage for any modification of the batteries, chargers,
devices and other products that we carry in any form or shape, this is
including pack making.

SunshineNovelty.com and any or all
of SunshineNovelty.com’s parent and subsidiary companies will not be held
responsible or liable for any injury, damage, or defect, permanent or temporary
that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion
Polymer) and any rechargeable battery and/or batteries as well as chargers.
Please have a greater understanding of the batteries and/or chargers you are
using and how to care for them properly. 
                              ","BRAND:
MOODTIME",MOOD TIME EXTRA DISPOSABLE 1000.png,"MOODTIME,DISPOSABLES","$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00","APPLE MARTINI,BLACKBERRY ICE,BLUE RAZZ LEMONADE,CHERRY FROST,CRAZY BANANA,DRAGON FRUIT,EXTREME FRUIT,EXTREME MINT,GRAPE ICE,LUSH ICE",DISPOSABLES,POD SYSTEMS
PINK MAX DISPOSABLE 10PC,"
                 Try these PINK MAX DISPOSABLES and chose from their large selection of great flavors!  They are pre-filled with vape juice so you can vape them pretty much right away!  Each container comes with 10 PINK MAX DISPOSABLE vapes.FLAVORS:BANANA ICE, BLUE RAZZ ICE, GUMMY BEAR, KIWI STRAWBERRY, LUSH ICE, MIGHTY MINT, PEACH ICE, PINEAPPLE COCONUT, PINEAPPLE GRAPE, STRAWBERRY BANANAWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any
of SunshineNovelty.com’s parent and subsidiary companies are not held
responsible for any damage for any modification of the batteries, chargers,
devices and other products that we carry in any form or shape, this is
including pack making.

SunshineNovelty.com and any or all
of SunshineNovelty.com’s parent and subsidiary companies will not be held
responsible or liable for any injury, damage, or defect, permanent or temporary
that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion
Polymer) and any rechargeable battery and/or batteries as well as chargers.
Please have a greater understanding of the batteries and/or chargers you are
using and how to care for them properly. 
                              ","BRAND:
PINK MAX",PINK MAX DISPOSABLE 10PC.png,"PINK MAX,DISPOSABLES","$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00","BANANA ICE,BLUE RAZZ ICED,GUMMY BEARS,KIWI STRAWBERRY,LUSH ICE,MIGHTY MINT,PEACH ICE,PINEAPPLE COCONUT,PINEAPPLE GRAPE,STRAWBERRY BANANA",DISPOSABLES,POD SYSTEMS
PALM PLUS (BY CALI) DISPOSABLES,"
                 No more need for filling up with liquid. PALM PLUS are the solution. Just as if you bought a box of cigarettes, Cali's Pods allow you to vape your favorite flavor, and when you are done, just toss the pod away and start a new one. So enjoy.PALM PLUS DISPOSABLE 5ML FEATURES :Sold in Prepack of 105% Salt Nic5ML of EliquidApproximately 1500 PuffsFLAVORS:BLUE RASPBERRY, CHILLED WATERMELON, MIGHTY MINT, CHILLED MANGO, CHILLED PEACH, CHILLED STRAWBERRY, MANGO STRAWBERRY, WATERMELON
                              ","BRAND:
CALI PODS",PALM PLUS (BY CALI) DISPOSABLES.png,DISPOSABLE,"$58.00,$58.00,$58.00,$58.00,$58.00,$58.00,$58.00,$58.00","BLUE RASPBERRY,CHILLED MANGO,CHILLED PEACH,CHILLED STRAWBERRY,CHILLED WATERMELON,MANGO STRAWBERRY,MIGHTY MINT,WATERMELON",DISPOSABLES,POD SYSTEMS
SWFT PRO DISPOSABLE,"
                 PRODUCT FEATURES:• Nicotine Salt: 5% • Disposable Device - No Maintenance - No Charging - No Refilling. • Liquid Capacity: 6.0ML • Battery Capacity: 1000mAh • Puff Count: ~2000 • Draw Activated Firing MechanismFLAVORSAPPLE PEACH, BANANA ICE, COTTON CANDY, HARD APPLE, KIWI BERRY ICE, STRAWBERRY BANANA, STRAWBERRY DONUT, STRAWBERRY LEMONADE, WATERMELON ICE
                              ","BRAND:
SWFT PRO",SWFT PRO DISPOSABLE.png,"NEW,SWFT,DISPOSABLES","$85.00,$85.00,$85.00,$85.00,$85.00,$85.00,$85.00,$85.00,$85.00","APPLE PEACH,BANANA ICE,COTTON CANDY,HARD APPLE,KIWI BERRY ICE,STRAWBERRY BANANA,STRAWBERRY DONUT,STRAWBERRY LEMONADE,WATERMELON ICE",DISPOSABLES,POD SYSTEMS
PROMAX 2000 PUFF DISPOSABLES,"
                 Promax Switch disposable vape with 2000 puffs is the newest innovation in the vape industry. With two flavors to choose from, both in the same device, The Pro Max Switch is the next great thing to storm the disposable vape market! The two different flavors aren’t combined into the same hit, rather The Pro Max Switch gives you the power to choose!With a convenient switch located at the bottom of the device, you now have the ability to completely change your vaping experience on the fly. Also, you don’t have to worry bout sacrificing juice capacity or running out sooner than usual on the more popular disposable devices; with the Pro Max Switch, each individual flavor has 1200 puffs worth of juice, with the two totaling 2400 puffs per device, at a 7mL juice capacity, this device is a game-changer, and sure to be your next choice of disposable!PROMAX DISPOSABLES FEATURES1000 Puffs in each compartment (2000 puffs total)7ml of salt nicotine ejuice5% salt nicotine strength10 flavors in total PROMAX DISPOSABLES FLAVORS:STRAWBERRY/WATERMELON - MINT GUM/APPLE PINEAPPLE - KIWI ICE/PINA COLADA - PASSION GUAVA ICE/ICY MINT - STRAWBERRY ICE CREAM/ BANANA ICE - LYCHEE ICE/SNOW MINT - STRAWBERRY ICE CREAM/VANILLA CUSTARD - BLUE RAZZ ICE/LYCHEE ICE - MANGO/BANANA STRAWBERRY - WATERMELON/BERRY ICE - PEACH/BLUEBERRY - BERRY ICE/STRAWBERRY ICE - LUSH ICE/BLUE RAZZ - APPLE/BANANA - GRAPE ICE/BLUE - BERRY LEMON/APPLE ICE - STRAWBERRY/GRAPE
                              ","BRAND:
PROMAX",PROMAX 2000 PUFF DISPOSABLES.png,"NEW,PROMAX,DISPOSABLE","$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00","APPLE/BANANA,BERRY ICE/STRAWBERRY ICE,BERRY LEMON/APPLE ICE,BLUE RAZZ ICE/LYCHEE ICE,GRAPE ICE/BLUE RAZZ,KIWI ICE/PINA COLADA,LUSH ICE/BLUE RAZZ,LYCHEE ICE/SNOW MINT,MANGO/BANANA STRAWBERRY,MINT GUM/APPLE PINEAPPLE",DISPOSABLES,POD SYSTEMS
