title,description,Brand,imageName,Tags,price,Variation,category
UWELL CALIBURN KOKO PRIME,"
                 Uwell Caliburn KOKO Prime is an upgraded version of the original UWELL CALIBURN KOKO, with a series of updates and optimizations in terms of material, performance, and flavor. Equipped with the same compact size as the original Caliburn KOKO, rectangular design, no buttons on the body, and made of lightweight and durable PC+ABS materials. Users can also choose to replace the exterior decorative panels for a personalized experience. Caliburn KOKO Prime has a built-in 690mAh battery with a larger capacity and uses a faster and more convenient Type-C port, which can be fully charged in less than an hour with a 1.6A charging current. Caliburn KOKO Prime also has a three-color LED indicator. You can easily know the working condition and battery levels with an indicator light. Its air switch design allows you to directly vape by inhaling without needing to hold any buttons.Uwell Caliburn KOKO Prime pod kit utilizes a refillable pod cartridge system that pod cartridge has a 2ml capacity and uses a top filling system which is best for reducing leaks. Designed for salt nicotine e-liquids, you'll enjoy smooth and consistent draws. Caliburn KOKO Prime also is compatible with Caliburn G pods and coils, and introduces a new 1.0ohm FeCrAl coil, making it ideal for smokers of all experience levels. A plug and play design make replacing and installing coils a hassle-free process. Exclusive patented Pro-Focs flavor testing technology also brings flavor to new heights. With ingenious airway design, you can get two different vape experiences when the pod is installed in different directions. Users can alternate their inhale by rotating the pod's, whether they prefer a loose inhale or a tighter, more restricted draw.FEATURES• Fashionable Lanyard to Free Your Hands• Interchangeable Decorative Panels• 690mAh Built-In Battery• 15W Max Output• USB Type-C Port with 1.6A Fast Charging• LED Indicator Light• Inhale Activated Mechanism• 2ML Top-Fill Pod• Ingenious Dual Airway Design• Compatible with Caliburn G Pod & Coils• Press-Fit Coil Installation• Uwell's Exclusive Patented Pro-Focs Flavor Testing TechnologySPECIFICATIONMaterial:PCTG, PC+ABSSize:68mm × 45.6mm × 16mmBattery Capacity:690mAhMaximum Wattage:15WE-liquid Capacity:2mlFilling Type:Top FillingCoil Resistance:UN2 Meshed-H 0.8 Ω (Sold Separately) / 1 Ω(Pre-installed)Colors:Purple, Blue, Grey, Black, Christmas Limited Edition(New Color)PACKAGE LIST1 x UWELL Caliburn KOKO Prime1 x 1.0ohm Caliburn KOKO Prime Pod1 x Type-C USB Cable1 x User Manual1 x Warranty CardAVAILABLE COLORSGREEN, RED
                              ","BRAND:
UWELL",UWELL CALIBURN KOKO PRIME.png,"UWELL,VAPE KIT,POD SYSTEM","$21.00,$21.00","GREEN,RED",POD SYSTEMS
VAPORESSO LUXE II KIT,"
                 Introducing the LUXE II, which is equipped with the transformative AXON CHIP and a thoroughly upgraded UI. The PULSE MODE constantly delivers a satisfying throat hit. By adopting the NRG-S tank loaded GT MESH coils, the LUXE II empowers a flavorful and powerful vaping experience. Boasting the most eye-catching 2.0” TFT color screen and an elegant design, the LUXE II is impressive at first sight.• AXON Chip• Pulse Mode• 2.0’’ TFT color screenVAPORESSO LUXE II KIT FEATURES:• Tank capacity - 8ml (Standard)/2ml (TPD)• Battery capacity - 2x18650 (Not included)• Output wattage - 5-220W• Display - 2.0'' TFT Color Screen• Resistance range - 0.03-5Ω• Charging current - 5V/2.5A• Coils - GT Meshed Coil(0.18Ω, 50-85W), GT4 Meshed Coil(0.15Ω, 50-75W)• Chipset - AXON ChipVAPORESSO LUXE II KIT INCLUDES: 1 x LUXE II Mod1 x NRG-S Tank (8ml)1 × GT MESHED coil 0.18Ω (Pre-installed)1 × GT4 MESHED coil 0.15Ω (In the Box)1 × Replacement glass tube (5ml)4 × O-ring1 × USB cable1 x User Manual1 x Warranty CardWARNING: Please
have a great understanding and technical knowledge on how to use this product
in order to properly use it. There is always an inherent risk when using
any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com
and any of SunshineNovelty.com’s parent and subsidiary companies are not
held responsible for any damage for any modification of the batteries,
chargers, devices and other products that we carry in any form or shape, this
is including pack making.
SunshineNovelty.com and any or all
of SunshineNovelty.com’s parent and subsidiary companies will not be held
responsible or liable for any injury, damage, or defect, permanent or temporary
that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion
Polymer) and any rechargeable battery and/or batteries as well as chargers.
Please have a greater understanding of the batteries and/or chargers you are
using and how to care for them properly. 



 
                              ","BRAND:
VAPORESSO",VAPORESSO LUXE II KIT.png,"VAPORESSO,POD SYSTEM","$54.00,$54.00,$54.00","HOLOGRAPHIC BLACK,JADE GREEN,SILVER",POD SYSTEMS
VAPORESSO LUXE PM40 POD 2PK - CARTRIDGE,"
                 PM40 Replacement Pods Features include 4ml Pod Capacity, Press Fit Coil Installation, and Magnetic Pod Connection. Each pack comes with 2 replacement pods.PM40 Replacement Pods Features:4ml Pod CapacityPress Fit Coil InstallationMagnetic Pod ConnectionWARNING: Please
have a great understanding and technical knowledge on how to use this product
in order to properly use it. There is always an inherent risk when using
any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com
and any of SunshineNovelty.com’s parent and subsidiary companies are not
held responsible for any damage for any modification of the batteries,
chargers, devices and other products that we carry in any form or shape, this
is including pack making.
SunshineNovelty.com and any or all
of SunshineNovelty.com’s parent and subsidiary companies will not be held
responsible or liable for any injury, damage, or defect, permanent or temporary
that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion
Polymer) and any rechargeable battery and/or batteries as well as chargers.
Please have a greater understanding of the batteries and/or chargers you are
using and how to care for them properly. 



 
                              ","BRAND:
VAPORESSO",VAPORESSO LUXE PM40 POD 2PK - CARTRIDGE.png,"VAPORESSO,POD SYSTEM",,,POD SYSTEMS
VAPORESSO LUXE PM40 KIT,"
                 Introducing LUXE PM40, which packs a revolutionary Turbo Boosting Tech, adjustable airflow and wattage, and GTX coils to satisfy you with every inhale. By adopting the unique anti-leakage mechanism and 1800mAh high-density battery in a pocketable body, the LUXE PM40 brings you a worry-free vaping experience. The top filling system, translucent cartridge and replaceable coil make the LUXE PM40 extremely user-friendly.VAPORESSO LUXE PM40 KIT FEATURES:• Turbo Boosting on Flavor Exploration• Adjustable Airflow• Adjustable Wattage• GTX Coil Platform• Anti-leakage Mechanism• High-density BatteryVAPORESSO LUXE PM40 KIT INCLUDES:1 x LUXE PM40 Battery2 x LUXE PM40 Cartridge (4ml)1 x GTX-2 0.6Ω MESH COIL1 x GTX-2 0.8Ω MESH COIL1 x Type-C USB Cable1 x User Manual1 X Warranty CardWARNING: Please
have a great understanding and technical knowledge on how to use this product
in order to properly use it. There is always an inherent risk when using
any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com
and any of SunshineNovelty.com’s parent and subsidiary companies are not
held responsible for any damage for any modification of the batteries,
chargers, devices and other products that we carry in any form or shape, this
is including pack making.
SunshineNovelty.com and any or all
of SunshineNovelty.com’s parent and subsidiary companies will not be held
responsible or liable for any injury, damage, or defect, permanent or temporary
that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion
Polymer) and any rechargeable battery and/or batteries as well as chargers.
Please have a greater understanding of the batteries and/or chargers you are
using and how to care for them properly. 



 
                              ","BRAND:
VAPORESSO",VAPORESSO LUXE PM40 KIT.png,"VAPORESSO,POD SYSTEM","$22.00,$22.00,$22.00,$22.00,$22.00","BLACK,CARBON FIBER,JADE GREEN,LAVA,SILVER",POD SYSTEMS
HYDE COLOR EDITION PLUS 1500 PUFFS DISPOSABLE ,"
                HYDE COLOR EDITION PLUS 1500 PUFFS DISPOSABLE LARGER is better with the all-new Hyde color edition plus. Redesigned to fit more E-Liquid and a bigger internal battery, ensuring the device will last longer while keeping it within the palm of your hand. An upgrade to Hyde's air flow technology makes each inhale consistently smooth. Stimulate your taste buds with the renowned flavors presented to you by Hyde that will always keep you on the Edge.Hyde Disposable Device Features:Disposable Pod Vape Pens. Easy to use, incredible flavors.Capacity: 6mLBattery Capacity: 1100mAhNicotine: 50mg14 Flavors available:Mango | Mango Ice | Pineapple Ice | Krazy Kustard | Blue Razz | Pink Lemonade | Cherry Lemonade | Spearmint | Honeydew Punch | Lush Ice | Strawmelon Apple | Peach Mango Watermelon | Strawberries & Cream | Fire & Ice | Honeydew 
                              ","BRAND:
HYDE",HYDE COLOR EDITION PLUS 1500 PUFFS DISPOSABLE .png,"DISPOSABLE,POD SYSTEM,HYDE","$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00","ALOE GRAPE,BANANA ICE,BLUE RAZZ,BLUE RAZZ ICE,CHERRY LEMONADE,HONEYDEW PUNCH,LEMON CRUMBLE,LUSH ICE,MANGO ICE,NEON RAIN",POD SYSTEMS
HYDE DUO PLUS 1100 PUFFS DISPOSABLE ,"
                 Introducing the Hyde Duo Plus, with twice as much power as the original Hyde Duo and a massive 1100 puff count! This ultimate 2-in-1 disposable device has 6 different amazing dual flavor options, in a conveniently compact device.Hyde Disposable Device Features:Disposable Pod Vape Pens. Easy to use, incredible flavors.Puffs : 1100Nicotine: 50mg14 Flavors available:Mango | Mango Ice | Pineapple Ice | Krazy Kustard | Blue Razz | Pink Lemonade | Cherry Lemonade | Spearmint | Honeydew Punch | Lush Ice | Strawmelon Apple | Peach Mango Watermelon | Strawberries & Cream | Fire & Ice | Honeydew 
                              ","BRAND:
HYDE",HYDE DUO PLUS 1100 PUFFS DISPOSABLE .png,"DISPOSABLE,POD SYSTEM,HYDE","$80.00,$80.00,$80.00,$80.00,$80.00,$80.00","BLUE RAZZ / LUSH ICE,STRAWBERRIES & CREAM / PEACH MANGO WATERMELON,ALOE GRAPE / PINEAPPLE ICE,BLUE RAZZ ICE / NEON RAIN,HONEYDEW PUNCH / PINK LEMONADE,STRAWBERRY BANANA / BANANA ICE",POD SYSTEMS
HYDE EDGE 1500 PUFFS DISPOSABLE ,"
                HYDE EDGE 1500 PUFFS DISPOSABLELARGER is better with the all-new Hyde Edge. Redesigned to fit more E-Liquid and a bigger internal battery, ensuring the device will last longer while keeping it within the palm of your hand. An upgrade to Hyde's air flow technology makes each inhale consistently smooth. Stimulate your taste buds with the renowned flavors presented to you by Hyde that will always keep you on the Edge.Hyde Disposable Device Features:Disposable Pod Vape Pens. Easy to use, incredible flavors.Capacity: 6mLBattery Capacity: 1100mAhNicotine: 50mg14 Flavors available:Mango | Mango Ice | Pineapple Ice | Krazy Kustard | Blue Razz | Pink Lemonade | Cherry Lemonade | Spearmint | Honeydew Punch | Lush Ice | Strawmelon Apple | Peach Mango Watermelon | Strawberries & Cream | Fire & Ice | Honeydew 
                              ","BRAND:
HYDE",HYDE EDGE 1500 PUFFS DISPOSABLE .png,"DISPOSABLE,POD SYSTEM,HYDE","$75.00,$75.00,$75.00,$75.00,$75.00,$75.00,$75.00,$75.00,$75.00,$75.00","ALOE GRAPE,BANANA ICE,BLUE RAZZ,BLUE RAZZ ICE,CHERRY LEMONADE,HONEYDEW,LUSH ICE,PEACH MANGO WATERMELON,PINEAPPLE ICE,PINK LEMONADE",POD SYSTEMS
MR FOG MAX PRO DISPOSABLE 1700 PUFF ,"
                 Mr. Fog is bringing you an Max version of its disposables with amazing flavors and 6% nicotine in a 3ML bottle that give you 1700 puffs per disposable pod.MR FOG MAX PRO DISPOSABLE 1700 PUFF  FEATURES:10 pods per box6% salt nicotine by weight3ML of e-juice - 1700 PUFFSFlavors: Mint Menthol | Raspberry Strawberry | Strawberry Guava | Blue raspberry Cherry | Raspberry Peach
                              ","BRAND:
MR FOG",MR FOG MAX PRO DISPOSABLE 1700 PUFF .png,DISPOSBABLE,"$95.00,$95.00,$95.00,$95.00,$95.00","BLUE RASBERRY CHERRY,MINT,RASPBERRY PEACH,RASPBERRY STRAWBERRY,STRAWBERRY GUAVA",POD SYSTEMS
SUORIN ELITE REPLACEMENT COIL,"
                 Suorin
 is a well-known brand in the vape industry featuring a premium line of 
high-quality wholesale Vape mods, tanks, and kits. 
The
 Suorin Elite Replacement Coils are a set of replacement coils 
specifically designed for the Suorin ELITE Pod System, offering a 0.4ohm
 Mesh and 1.0ohm Regular Coil. Each coil features superior cotton 
wicking and can be installed in a plug ‘n’ play manner.Specifications:Suorin ELITE Coil Series0.4ohm Mesh Coil1.0ohm Round Wire CoilBottom Press-Fit Coil InstallationPackage Content:3 x Suorin Elite Replacement Coils
                              ","BRAND:
SUORIN",SUORIN ELITE REPLACEMENT COIL.png,SUORIN,"$3.00,$3.00","0.4 OHM,1.0 OHM",POD SYSTEMS
FREEMAX MAXPOD COIL,"
                 FreeMax is one of the leading brands in the vape industry offering a plethora of premium-quality wholesale wide range of wholesale tanks, replacement pod cartridges, and coils. The FreeMax MaxPod Replacement Coils offers the perfect yet powerful balance of flavors, throat hit, vapor, coil life, nicotine intake, and compatible e-liquid options which can be both freebase and nicotine salt. The stable voltage output of 3.3V offers a higher consistency of powerful flavor performance. FreeMax wholesale range of vape products includes top of the line devices and accessories like FreeMax FireLuke Mesh M Replacement Coils, FreeMax Mesh Pro Replacement Coil, and so on. Specifications:FreeMax Pod Replacement Coils – 5 PackReplaceable Coil DesignFM SaltCoilTech 2.0Honeycomb Mesh, Flax Cotton and Organic Cotton formulaNS Mesh Coil 1.0Ω66.66% Flax Cotton & 33.34 Organic CottonSalt Nic (Best 20-30mg) & Freebase (Best 3-12mg)Focused on Flavor and VaporNS Mesh Coil 1.5Ω44.44% Flax Cotton & 55.56% Organic CottonSalt Nic (Best 30-50mg) & Freebase (Best 12-24mg)Focused on Nicotine Intake and Throat HitCompatibilityFreeMax Maxpod KitPackage Content:5-Qty FreeMax Maxpod NS Mesh Replacement CoilsAuthenticity Scratch-Off Code on Retail Box
                              ","BRAND:
FREEMAX",FREEMAX MAXPOD COIL.png,FREEMAX,"$7.00,$7.00","NS MESH 1.0 OHM,NS MESH 1.5 OHM",POD SYSTEMS
